h3_index;weekly_popularity
883904d347fffff;5505
883904d357fffff;3963
883904d361fffff;3708
883904d363fffff;5285
883904d36bfffff;4238
883904d5a1fffff;5895
883904d5edfffff;8347
883904d80dfffff;7185
883904d931fffff;5199
883904d939fffff;39559
883904d947fffff;1685
883904d95bfffff;2423
883904d983fffff;17547
883904da01fffff;2420
883904da6bfffff;2623
883904db5dfffff;6116
8839059289fffff;2327
883905c363fffff;2487
883905cabdfffff;26534
883905d237fffff;2181
883905d23bfffff;4465
883905da49fffff;3538
8839060d67fffff;11642
8839060f4bfffff;3360
8839060f5dfffff;9162
8839061003fffff;2651
8839061019fffff;7454
883906101bfffff;2193
8839061031fffff;1025
8839061033fffff;2904
883906104dfffff;4797
88390610c9fffff;2180
883906132dfffff;1728
8839062091fffff;8416
8839062095fffff;11711
88390620bbfffff;3930
8839062605fffff;2988
883906260dfffff;4199
883906262dfffff;2229
8839062663fffff;3284
8839062a6dfffff;2170
8839063589fffff;5716
88390645a5fffff;10473
8839064617fffff;3871
88390646edfffff;6859
88390658c5fffff;2281
88390660d1fffff;2742
8839066ab9fffff;2808
8839066abdfffff;5730
8839067085fffff;3774
88390670b9fffff;7170
8839067a29fffff;2872
8839067a2bfffff;1092
8839067a65fffff;2725
8839068459fffff;3957
8839068951fffff;2852
8839068959fffff;3162
8839068a25fffff;2699
8839068b19fffff;2171
8839068b53fffff;38999
8839068c09fffff;3583
8839068e13fffff;3054
88390690adfffff;6173
8839069213fffff;3047
88390692bbfffff;3010
88390695b1fffff;3937
88390695b7fffff;2542
8839069713fffff;3275
8839069945fffff;2191
8839069b49fffff;8269
883906ad39fffff;3040
883906b1a1fffff;2963
883906c089fffff;3732
883906c241fffff;2368
883906c24dfffff;2936
883906c4dbfffff;3594
883906c549fffff;2501
883906c567fffff;2301
883906c621fffff;3301
883906c635fffff;2271
883906c691fffff;19613
883906c6e5fffff;987
883906c723fffff;5336
883906c727fffff;5817
883906c72bfffff;7591
883906c741fffff;3592
883906c833fffff;2363
883906c845fffff;4504
883906c84dfffff;8030
883906c861fffff;11106
883906c86bfffff;11456
883906c86dfffff;6161
883906c9d1fffff;3258
883906c9d9fffff;1981
883906ca25fffff;2541
883906cab7fffff;2061
883906d0c3fffff;3127
883906d0cbfffff;4719
883906d243fffff;1513
883906d249fffff;1732
883906d255fffff;3571
883906d285fffff;14575
883906d2abfffff;21468
883906d347fffff;1587
883906d4bbfffff;3705
883906d563fffff;3926
883906d56dfffff;2614
883906d5a9fffff;7997
883906d5e1fffff;1738
883906d5e3fffff;14840
883906d5e7fffff;8699
883906d62dfffff;4758
883906d759fffff;2875
883906d8cdfffff;3162
883906d965fffff;5735
88390ac863fffff;1316
88391000e1fffff;3207
8839100137fffff;2498
883910035dfffff;3936
8839100503fffff;1882
8839100507fffff;2963
8839100519fffff;2319
8839100525fffff;5549
8839100531fffff;1623
8839100583fffff;9799
8839100587fffff;6604
8839100595fffff;1301
8839100597fffff;2516
88391005bbfffff;2583
88391006edfffff;3191
8839100ae9fffff;3593
8839100b19fffff;3703
8839100b51fffff;3595
8839100e0dfffff;1912
8839100e17fffff;5728
8839100e19fffff;2935
8839100e1bfffff;8827
8839100ec5fffff;3187
8839100ec9fffff;7462
8839100ecdfffff;79198
88391011b3fffff;3276
8839101445fffff;12878
883910160bfffff;28435
8839101657fffff;5599
8839101701fffff;3729
8839101767fffff;7191
88391019b7fffff;1656
8839102021fffff;6239
8839102029fffff;2545
8839102043fffff;2462
8839102051fffff;2832
8839102053fffff;3463
8839102055fffff;5328
8839102067fffff;4240
8839102085fffff;2237
8839102087fffff;2229
88391020a9fffff;9852
88391020abfffff;8154
88391020adfffff;3293
88391020b3fffff;5221
88391020bdfffff;4651
88391020c3fffff;2931
88391020cbfffff;2943
88391020e3fffff;1888
88391020e7fffff;19691
88391020edfffff;2635
88391021cdfffff;5805
88391021d9fffff;3135
88391021dbfffff;7886
883910223bfffff;2179
8839102281fffff;8218
8839102289fffff;5012
88391022d9fffff;1783
88391022edfffff;1889
8839102331fffff;14585
8839102339fffff;4714
883910233bfffff;4940
8839102345fffff;7412
883910235bfffff;4711
8839102483fffff;9757
8839102487fffff;15055
88391024b9fffff;17216
8839102513fffff;3200
8839102515fffff;1563
883910251dfffff;1854
8839102533fffff;12940
8839102561fffff;2497
883910256bfffff;5640
883910256dfffff;3578
8839102597fffff;4417
88391025adfffff;6145
88391025cbfffff;1725
88391025e5fffff;2438
88391025e9fffff;3438
88391025edfffff;7503
8839102727fffff;3328
8839102ed3fffff;3487
8839102ed9fffff;4423
8839102edbfffff;8669
8839103027fffff;2262
883910308dfffff;1470
88391031cdfffff;8626
88391031e3fffff;2557
8839103465fffff;1962
8839103853fffff;3636
88391038ddfffff;2695
8839103a03fffff;5064
8839103a05fffff;25267
8839103a09fffff;12540
8839103a0dfffff;3044
8839103a17fffff;5641
8839103a35fffff;5634
8839103a41fffff;4697
8839103a43fffff;18845
8839103a45fffff;7798
8839103a47fffff;25192
8839103a49fffff;7480
8839103a55fffff;2452
8839103a61fffff;12508
8839103a63fffff;29098
8839103a81fffff;2618
8839103a89fffff;2235
8839103a9dfffff;4015
8839103aa1fffff;1616
8839103aa3fffff;7158
8839103aa5fffff;5223
8839103aadfffff;42756
8839103ac1fffff;3409
8839103ac3fffff;1688
8839103ac5fffff;2118
8839103ad5fffff;5233
8839103aedfffff;839
88391084a1fffff;6901
883910a0c1fffff;4743
883910a607fffff;5394
883910a837fffff;2592
883910a909fffff;1554
